user_id,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,career_option_1,career_option_2,career_option_3
1,1,3,4,1,2,3,4,1,Software Engineer,Data Analyst,Machine Learning Engineer
2,2,4,3,3,4,1,2,3,Doctor,Surgeon,Pharmacist
3,3,1,2,4,1,2,3,2,Artist,Graphic Designer,Animator
4,4,2,1,2,3,4,1,4,Lawyer,Judge,Corporate Lawyer
5,1,3,4,1,2,3,4,1,Data Scientist,AI Engineer,Research Scientist
6,3,2,1,3,4,1,2,3,Psychologist,Therapist,Counselor
7,2,4,3,4,1,2,3,2,Engineer,Mechanical Engineer,Civil Engineer
8,4,1,2,2,3,4,1,4,Writer,Author,Journalist
9,1,3,4,1,2,3,4,1,Architect,Interior Designer,Urban Planner
10,3,2,1,3,4,1,2,3,Marketing Manager,Sales Manager,Brand Manager
